# R, Z, Br, Bt, Bz, Psi-Psi_a, P
  0.7000000000E+00  0.0000000000E+00  0.9400905817E-05  0.4505514286E+00  0.1244284573E-01 -0.5340044511E-03  0.0000000000E+00
  0.7460993659E+00 -0.1838355300E-01 -0.1971705017E-02  0.4227131323E+00  0.1598573330E-01 -0.7507479397E-04  0.0000000000E+00
  0.7528285095E+00 -0.4894929600E-01 -0.5317105179E-02  0.4189347189E+00  0.1526944680E-01 -0.7957427888E-04  0.0000000000E+00
  0.7651847968E+00 -0.7802952500E-01 -0.8505103363E-02  0.4121697155E+00  0.1385449244E-01 -0.9537390191E-04  0.0000000000E+00
  0.7827310737E+00 -0.1041183400E+00 -0.1134546015E-01  0.4029302152E+00  0.1192166695E-01 -0.1206262816E-03  0.0000000000E+00
  0.8054797504E+00 -0.1261540000E+00 -0.1380752289E-01  0.3915505013E+00  0.9649061028E-02 -0.1459227865E-03  0.0000000000E+00
  0.8323014550E+00 -0.1435216500E+00 -0.1578183560E-01  0.3789324146E+00  0.7078906612E-02 -0.1728060807E-03  0.0000000000E+00
  0.8611697877E+00 -0.1550666500E+00 -0.1713687300E-01  0.3662297546E+00  0.4365579125E-02 -0.1936773604E-03  0.0000000000E+00
  0.8957333720E+00 -0.1602059900E+00 -0.1804726011E-01  0.3520980795E+00  0.1155879433E-02 -0.1884002565E-03  0.0000000000E+00
  0.9279358139E+00 -0.1590356500E+00 -0.1817196250E-01  0.3398791116E+00 -0.2000640412E-02 -0.1808211933E-03  0.0000000000E+00
  0.9594993245E+00 -0.1561620700E+00 -0.1724079051E-01  0.3286985118E+00 -0.5090962170E-02 -0.2391329579E-03  0.0000000000E+00
  0.9899363997E+00 -0.1463920200E+00 -0.1580872834E-01  0.3185921844E+00 -0.7976876409E-02 -0.2760364266E-03  0.0000000000E+00
  0.1015498927E+01 -0.1266441400E+00 -0.1427701525E-01  0.3105724602E+00 -0.1087403828E-01 -0.2186930455E-03  0.0000000000E+00
  0.1037140859E+01 -0.1044683600E+00 -0.1201999353E-01  0.3040917703E+00 -0.1339872480E-01 -0.1882451487E-03  0.0000000000E+00
  0.1054817679E+01 -0.7791179600E-01 -0.9136100499E-02  0.2989957472E+00 -0.1553502480E-01 -0.1607264904E-03  0.0000000000E+00
  0.1067731127E+01 -0.4869793800E-01 -0.5749149652E-02  0.2953796063E+00 -0.1700296658E-01 -0.1525380498E-03  0.0000000000E+00
  0.1075582440E+01 -0.1794419500E-01 -0.2102745115E-02  0.2932234558E+00 -0.1765643341E-01 -0.1696608286E-03  0.0000000000E+00
  0.1076610372E+01  0.1581869000E-01  0.1871111643E-02  0.2929434902E+00 -0.1759952313E-01 -0.1852139343E-03  0.0000000000E+00
  0.1069040934E+01  0.4672440100E-01  0.5520867168E-02  0.2950177023E+00 -0.1699077681E-01 -0.1663435634E-03  0.0000000000E+00
  0.1055375355E+01  0.7536543100E-01  0.8966327707E-02  0.2988377532E+00 -0.1570351676E-01 -0.1487051032E-03  0.0000000000E+00
  0.1037580154E+01  0.1018139000E+00  0.1194593658E-01  0.3039630229E+00 -0.1363550286E-01 -0.1654786543E-03  0.0000000000E+00
  0.1015305481E+01  0.1246390700E+00  0.1433290308E-01  0.3106316335E+00 -0.1105923847E-01 -0.1923361836E-03  0.0000000000E+00
  0.9890178263E+00  0.1421428500E+00  0.1616179775E-01  0.3188880843E+00 -0.8178644242E-02 -0.2069484001E-03  0.0000000000E+00
  0.9587950843E+00  0.1519264500E+00  0.1764079784E-01  0.3289399426E+00 -0.5157396287E-02 -0.1707665301E-03  0.0000000000E+00
  0.9270654517E+00  0.1571380700E+00  0.1834308776E-01  0.3401982022E+00 -0.1910812381E-02 -0.1532741093E-03  0.0000000000E+00
  0.8949052098E+00  0.1586892500E+00  0.1811277258E-01  0.3524239177E+00  0.1286057543E-02 -0.1706939699E-03  0.0000000000E+00
  0.8561993098E+00  0.1540658200E+00  0.1686566008E-01  0.3683558214E+00  0.4768569307E-02 -0.2040476175E-03  0.0000000000E+00
  0.8273680668E+00  0.1419599200E+00  0.1538990207E-01  0.3811918935E+00  0.7395487989E-02 -0.1875200392E-03  0.0000000000E+00
  0.8014243269E+00  0.1242082900E+00  0.1341143967E-01  0.3935318525E+00  0.9872594021E-02 -0.1619084946E-03  0.0000000000E+00
  0.7794535191E+00  0.1015275200E+00  0.1096803535E-01  0.4046245123E+00  0.1209289973E-01 -0.1344041085E-03  0.0000000000E+00
  0.7625645470E+00  0.7478118700E-01  0.8143923658E-02  0.4135859728E+00  0.1398411504E-01 -0.1070991752E-03  0.0000000000E+00
  0.7505697127E+00  0.4525719400E-01  0.4916145178E-02  0.4201954791E+00  0.1523945796E-01 -0.9367978073E-04  0.0000000000E+00
  0.7453332343E+00  0.1423750200E-01  0.1568208983E-02  0.4231476412E+00  0.1597956664E-01 -0.7943862658E-04  0.0000000000E+00
  0.7517591636E+00 -0.2070127000E-01 -0.2344025299E-02  0.4195306359E+00  0.1653939237E-01 -0.9883657782E-05  0.0000000000E+00
  0.7586501265E+00 -0.5151389300E-01 -0.5886603028E-02  0.4157199597E+00  0.1562260932E-01 -0.2241723927E-04  0.0000000000E+00
  0.7714436586E+00 -0.8077835400E-01 -0.9191860101E-02  0.4088257081E+00  0.1394629121E-01 -0.4712268452E-04  0.0000000000E+00
  0.7895442442E+00 -0.1068446200E+00 -0.1211982021E-01  0.3994532318E+00  0.1178903617E-01 -0.8217930957E-04  0.0000000000E+00
  0.8117822009E+00 -0.1287066500E+00 -0.1439081250E-01  0.3885106124E+00  0.9286343505E-02 -0.1267807694E-03  0.0000000000E+00
  0.8383438054E+00 -0.1458455600E+00 -0.1615206444E-01  0.3762012649E+00  0.6583327800E-02 -0.1693351329E-03  0.0000000000E+00
  0.8684403996E+00 -0.1577427700E+00 -0.1732166735E-01  0.3631636669E+00  0.3653577997E-02 -0.2083508758E-03  0.0000000000E+00
  0.9003962756E+00 -0.1650145000E+00 -0.1765938734E-01  0.3502746608E+00  0.5597035559E-03 -0.2620090322E-03  0.0000000000E+00
  0.9338458315E+00 -0.1631175800E+00 -0.1765334830E-01  0.3377281232E+00 -0.2572614100E-02 -0.2614990934E-03  0.0000000000E+00
  0.9644346641E+00 -0.1578448500E+00 -0.1681474857E-01  0.3270164499E+00 -0.5458084023E-02 -0.2917400058E-03  0.0000000000E+00
  0.9944056787E+00 -0.1475824200E+00 -0.1538036472E-01  0.3171602966E+00 -0.8166538806E-02 -0.3302688116E-03  0.0000000000E+00
  0.1020600291E+01 -0.1291496100E+00 -0.1364655401E-01  0.3090200960E+00 -0.1078861723E-01 -0.3105788431E-03  0.0000000000E+00
  0.1042565111E+01 -0.1070532300E+00 -0.1144600384E-01  0.3025096434E+00 -0.1305067485E-01 -0.2943347439E-03  0.0000000000E+00
  0.1060306499E+01 -0.8057126500E-01 -0.8737546614E-02  0.2974479553E+00 -0.1497190983E-01 -0.2743657814E-03  0.0000000000E+00
  0.1072656077E+01 -0.5058463300E-01 -0.5569498984E-02  0.2940234122E+00 -0.1643344518E-01 -0.2519858944E-03  0.0000000000E+00
  0.1080144117E+01 -0.2013210700E-01 -0.2196433896E-02  0.2919851110E+00 -0.1708625798E-01 -0.2600892222E-03  0.0000000000E+00
  0.1080133100E+01  0.1306735900E-01  0.1468533764E-02  0.2919880893E+00 -0.1724018237E-01 -0.2464821579E-03  0.0000000000E+00
  0.1072359164E+01  0.4384956100E-01  0.4998210307E-02  0.2941048210E+00 -0.1686178850E-01 -0.2102701632E-03  0.0000000000E+00
  0.1058911427E+01  0.7348091700E-01  0.8503893842E-02  0.2978398305E+00 -0.1565691865E-01 -0.1899183979E-03  0.0000000000E+00
  0.1042040695E+01  0.9934172500E-01  0.1139708958E-01  0.3026618841E+00 -0.1379418592E-01 -0.1990892988E-03  0.0000000000E+00
  0.1019676530E+01  0.1227750900E+00  0.1388541014E-01  0.3093000483E+00 -0.1132168181E-01 -0.2153377042E-03  0.0000000000E+00
  0.9920505822E+00  0.1406291400E+00  0.1596858387E-01  0.3179132251E+00 -0.8515483764E-02 -0.2079418917E-03  0.0000000000E+00
  0.9623546885E+00  0.1506757000E+00  0.1754094882E-01  0.3277232436E+00 -0.5561272896E-02 -0.1679191254E-03  0.0000000000E+00
  0.9309613681E+00  0.1558600500E+00  0.1840809544E-01  0.3387745301E+00 -0.2294622860E-02 -0.1390686760E-03  0.0000000000E+00
  0.8992226815E+00  0.1573069600E+00  0.1835187030E-01  0.3507318115E+00  0.9430646076E-03 -0.1437703383E-03  0.0000000000E+00
  0.8623553263E+00  0.1526492000E+00  0.1734031439E-01  0.3657262736E+00  0.4433462944E-02 -0.1588689919E-03  0.0000000000E+00
  0.8336196488E+00  0.1400474400E+00  0.1599603082E-01  0.3783332128E+00  0.7347692714E-02 -0.1243310119E-03  0.0000000000E+00
  0.8074312135E+00  0.1219495700E+00  0.1400690794E-01  0.3906041713E+00  0.1013064824E-01 -0.8870685101E-04  0.0000000000E+00
  0.7857653489E+00  0.9920547600E-01  0.1152194083E-01  0.4013742785E+00  0.1257909900E-01 -0.5293342825E-04  0.0000000000E+00
  0.7684839817E+00  0.7225913300E-01  0.8484060015E-02  0.4104002263E+00  0.1465460603E-01 -0.2621541269E-04  0.0000000000E+00
  0.7564737572E+00  0.4263354800E-01  0.4990617431E-02  0.4169159829E+00  0.1597712648E-01 -0.1444178195E-04  0.0000000000E+00
  0.7507578284E+00  0.1171437200E-01  0.1395754315E-02  0.4200901916E+00  0.1662954951E-01 -0.1047597621E-04  0.0000000000E+00
